Sample,Voltage (mV)
0,-2.08731103
1,-2.15737844
2,-2.4261148
3,-2.74026632
4,-2.05517197
5,-0.185773194
6,-0.078515552
7,-1.65591145
8,-3.22950792
9,-1.53262889
10,-0.0583558455
11,-0.00762134977
12,-0.00750959944
13,-0.174151197
14,-1.31768882
15,-2.1311841
16,-2.3617692
17,-2.49866271
18,-2.46361804
19,-2.42980242
20,-2.49300838
21,-1.01113629
22,-0.0346871987
23,-0.368909091
24,-2.75861573
25,-3.40437412
26,-0.97591275
27,-0.0104821492
28,-0.00773309963
29,-0.0120019494
30,-0.433478236
31,-1.27602851
32,-1.699561
33,-2.22731137
34,-2.63855147
35,-3.00746059
36,-3.33077574
37,-2.58285522
38,-0.411485851
39,-0.0307088997
40,-1.01198554
41,-3.08575273
42,-1.95584846
43,-0.130903944
44,-0.00750959944
45,-0.00762134977
46,-0.0632952005
47,-0.950210214
48,-1.7285713
49,-1.86352062
50,-1.87301934
51,-2.10724735
52,-2.34996819
53,-2.78172541
54,-1.70429921
55,-0.0550257005
56,-0.00762134977
57,-0.00768839987
58,-0.19120425
59,-1.20484376
60,-1.80098534
61,-2.24798512
62,-2.63984776
63,-2.90035939
64,-3.23062539
65,-3.05383682
66,-0.887004435
67,-0.0261718482
68,-0.493286818
69,-2.71266413
70,-2.58618546
71,-0.381179243
72,-0.00753194978
73,-0.00750959944
74,-0.0185728502
75,-0.676847339
76,-1.68393826
77,-1.80257213
78,-2.05805492
79,-2.19000936
80,-2.4888289
81,-2.85626292
82,-2.36313248
83,-0.310910851
84,-0.0430684499
85,-1.326249
86,-3.27335858
87,-1.9197979
88,-0.121628702
89,-0.00757664954
90,-0.00764370011
91,-0.124154247
92,-1.45746577
93,-2.2499969
94,-2.25922728
95,-2.49396944
96,-2.54039025
97,-2.4601984
98,-2.50954747
99,-1.26266313
100,-0.0583334975
101,-0.236150101
102,-2.46889257
103,-3.58563256
104,-1.32048273
105,-0.0240038987
106,-0.00753194978
107,-0.00766604999
108,-0.258947074
109,-1.2315743
110,-1.72322965
111,-2.27896237
112,-2.62462735
113,-2.97491908
114,-3.39480829
115,-2.87188554
116,-0.616122425
117,-0.0239368491
118,-0.588788331
119,-2.79229712
120,-2.29170203
121,-0.237222895
122,-0.00742019992
123,-0.00750959944
124,-0.0477395989
125,-0.9836905
126,-1.86186671
127,-1.9000181
