Sample,Voltage (mV)
0,-6.90954685
1,-3.83787489
2,-0.206603393
3,-0.00773309963
4,-0.00773309963
5,-0.224148139
6,-2.64192629
7,-4.25336123
8,-4.49393702
9,-5.13424158
10,-5.25515509
11,-5.3143158
12,-5.62761831
13,-2.75937557
14,-0.0903833956
15,-0.502182126
16,-4.8288064
17,-6.49381495
18,-1.88629532
19,-0.0142369494
20,-0.00780014927
21,-0.00851534959
22,-1.11729884
23,-4.44635391
24,-4.61464882
25,-5.02157545
26,-5.13973951
27,-5.21434402
28,-5.37336445
29,-5.2340126
30,-1.18642735
31,-0.0254790001
32,-1.67081892
33,-6.47126341
34,-5.09794521
35,-0.568293452
36,-0.00759899989
37,-0.00766604999
38,-0.1020054
39,-2.14863944
40,-5.67850876
41,-3.64414501
42,-0.248643741
43,-0.192567587
44,-3.77634525
45,-6.8553257
46,-2.79111242
47,-0.0609707981
48,-0.00773309963
49,-0.00777779939
50,-0.585368812
51,-3.46639538
52,-4.69186831
53,-4.93566227
54,-5.06676722
55,-5.22679329
56,-5.34497976
57,-5.59617138
58,-2.04936099
59,-0.0379279479
60,-0.858061194
61,-5.51439333
62,-5.97361851
63,-1.24889565
64,-0.00780014927
65,-0.00777779939
66,-0.0243167989
67,-1.53050566
68,-3.89473319
69,-4.50441885
70,-4.99211788
71,-5.1914134
72,-5.3221159
73,-5.49544001
74,-4.77688742
75,-0.726084411
76,-0.0403864458
77,-2.23412824
78,-6.61872864
79,-4.32700443
80,-0.318822742
81,-0.00768839987
82,-0.00773309963
83,-0.193930939
84,-2.96611309
85,-4.84498835
86,-4.91950274
87,-5.02381039
88,-5.16231346
89,-5.40657663
90,-5.7559514
91,-3.20380521
92,-0.153633893
93,-0.334266603
94,-4.39378643
95,-6.70108843
96,-2.34480548
97,-0.031379398
98,-0.00773309963
99,-0.0078672003
100,-0.751764596
101,-3.5809617
102,-4.56221581
103,-4.94192028
104,-5.21067905
105,-5.34703636
106,-5.41804218
107,-5.54633093
108,-1.59351027
109,-0.0261047985
110,-1.16613352
111,-5.93826103
112,-5.57024527
113,-0.861860693
114,-0.00775544951
115,-0.00780014927
116,-0.0601214953
117,-2.02263021
118,-4.41703033
119,-4.15122175
120,-4.88378763
121,-5.11548996
122,-5.30137491
123,-5.59360123
124,-4.43126726
125,-0.504126608
126,-0.0936912
127,-3.072052
