Sample,Voltage (mV)
0,-8.27774715
1,-7.47390699
2,-7.78307438
3,-9.05778408
4,-10.8265858
5,-12.4747419
6,-13.3585501
7,-13.0962954
8,-11.7672968
9,-9.88243198
10,-8.23526001
11,-7.4313302
12,-7.74957132
13,-9.02720928
14,-10.8015089
15,-12.4376411
16,-13.2653723
17,-12.9926577
18,-11.6897421
19,-9.84155369
20,-8.23146057
21,-7.50868368
22,-7.97360754
23,-9.29619217
24,-11.0324287
25,-12.5261011
26,-13.2872763
27,-12.9607868
28,-11.5868206
29,-9.70287228
30,-8.09516907
31,-7.42124987
32,-7.89415359
33,-9.24746895
34,-11.0287418
35,-12.560051
36,-12.1943378
37,-10.4126854
38,-8.6104269
39,-7.48611021
40,-7.432693
41,-8.43207359
42,-10.1031828
43,-11.8639832
44,-13.0074091
45,-13.1039391
46,-12.1056538
47,-10.3585768
48,-8.58975315
49,-7.52271891
50,-7.60490036
51,-8.69801617
52,-10.3644543
53,-12.0001163
54,-13.0490475
55,-13.0995798
56,-12.0355635
57,-10.2375517
58,-8.45972061
59,-7.42301559
60,-7.54323626
61,-8.63903522
62,-10.3469772
63,-12.0308037
64,-13.0771856
65,-13.1011448
66,-12.0538683
67,-10.3519831
68,-8.60273838
69,-7.5581212
70,-7.59455204
71,-8.68011379
72,-10.3787136
73,-12.0128336
74,-13.0110073
75,-12.9818182
76,-11.9354362
77,-10.1958456
78,-8.46309471
79,-7.49136209
80,-7.62061214
81,-8.75719929
82,-10.4874916
83,-12.1986294
84,-13.2535715
85,-13.1800632
86,-12.0034466
87,-10.1559963
88,-8.42029476
89,-7.44912052
90,-7.57919741
91,-8.72327232
92,-10.4536314
93,-12.1626463
94,-13.151969
95,-13.056735
96,-11.8968821
97,-10.0832691
98,-8.38109303
99,-7.47918129
100,-7.75837755
101,-8.97146893
102,-10.6799917
103,-12.2516212
104,-13.1620035
105,-13.0217133
106,-11.7946091
107,-9.94275475
108,-8.2392149
109,-7.37985802
110,-7.68028688
111,-8.90933514
112,-10.6622229
113,-12.27672
114,-13.1841526
115,-13.0209312
116,-11.8342571
117,-10.0814362
118,-8.4076004
119,-7.52166891
120,-7.7440958
121,-8.97520161
122,-10.7103653
123,-12.2702169
124,-13.1197176
125,-12.9110136
126,-11.7203178
127,-9.92467308
