Sample,Voltage (mV)
0,-7.28746319
1,-7.22772169
2,-6.85818672
3,-6.30902481
4,-5.81339121
5,-5.60115576
6,-5.76431084
7,-6.12924147
8,-6.62585878
9,-7.07554007
10,-7.30744362
11,-7.20584059
12,-6.78791809
13,-6.21137762
14,-5.70532894
15,-5.52652931
16,-5.66118765
17,-6.04790974
18,-6.59206533
19,-7.08311701
20,-7.32329035
21,-7.24426031
22,-6.91687775
23,-6.40217972
24,-5.88410664
25,-5.59755754
26,-5.66521072
27,-6.03979683
28,-6.5554781
29,-7.01081467
30,-7.22244692
31,-7.12989569
32,-6.798244
33,-6.25413322
34,-5.77338457
35,-5.56076908
36,-5.67817354
37,-6.0812335
38,-6.64702368
39,-7.21205378
40,-7.43314028
41,-7.28460217
42,-6.81891775
43,-6.23830938
44,-5.74486589
45,-5.50375414
46,-5.60620642
47,-6.00028181
48,-6.58924913
49,-7.12028503
50,-7.33815289
51,-7.22235775
52,-6.80720615
53,-6.24293613
54,-5.77506113
55,-5.62726068
56,-5.82834339
57,-6.21875334
58,-6.72236538
59,-7.14844608
60,-7.3299284
61,-7.17119837
62,-6.71089983
63,-6.12521839
64,-5.6558013
65,-5.53578186
66,-5.71563244
67,-6.13945532
68,-6.69373512
69,-7.15452528
70,-7.34870243
71,-7.21679258
72,-6.86475754
73,-6.3291173
74,-5.83784246
75,-5.60410595
76,-5.73159027
77,-6.14070702
78,-6.65853405
79,-7.08700562
80,-7.25125599
81,-7.11802769
82,-6.74746466
83,-6.19014549
84,-5.74229622
85,-5.5816884
86,-5.75181723
87,-6.18730688
88,-6.7692337
89,-7.30000162
90,-7.46125698
91,-7.25628471
92,-6.7558012
93,-6.17208672
94,-5.7066474
95,-5.5132308
96,-5.66398144
97,-6.08831882
98,-6.68586826
99,-7.29700661
100,-7.00343895
101,-6.51109123
102,-5.96235418
103,-5.62321472
104,-5.6347928
105,-5.97413254
106,-6.47495127
107,-6.95129681
108,-7.21607733
109,-7.16865063
110,-6.87993336
111,-6.35513306
112,-5.84258032
113,-5.57835865
114,-5.64447021
115,-6.01009369
116,-6.55932236
117,-7.14741802
118,-7.43472719
119,-7.34420967
120,-6.91730261
121,-6.33718586
122,-5.81037378
123,-5.51204634
124,-5.55165005
125,-5.89930439
126,-6.45870304
127,-7.01877165
