Sample,Voltage (mV)
0,-23.9125099
1,-17.2417507
2,-14.8274813
3,-17.3161316
4,-23.7510757
5,-31.5242043
6,-37.7789612
7,-40.5328865
8,-38.7391205
9,-32.5690193
10,-24.2937565
11,-17.9648838
12,-15.6159668
13,-17.9491501
14,-24.2184143
15,-31.8500443
16,-37.71064
17,-39.5525017
18,-37.2523499
19,-31.0665894
20,-23.4913464
21,-17.5701618
22,-15.5132236
23,-18.2810936
24,-24.8869247
25,-32.6857109
26,-38.435318
27,-40.29953
28,-37.9531403
29,-31.4907017
30,-23.5815506
31,-17.5921764
32,-15.547061
33,-17.9766197
34,-23.9577904
35,-31.5830517
36,-37.5800476
37,-39.973175
38,-37.66185
39,-31.2893047
40,-23.6621914
41,-17.9803944
42,-16.2091579
43,-18.7321148
44,-25.0604286
45,-32.6420403
46,-38.2716675
47,-40.2010574
48,-37.5870438
49,-30.8961697
50,-22.6126556
51,-16.5421734
52,-14.8965206
53,-18.1808758
54,-25.0427952
55,-32.7526932
56,-38.5531654
57,-40.6099701
58,-38.0386505
59,-31.2963238
60,-23.0768204
61,-17.3201771
62,-15.7116022
63,-18.8002377
64,-25.5151615
65,-33.0596046
66,-38.3724251
67,-39.512764
68,-36.5248413
69,-29.873703
70,-22.3905201
71,-16.9867153
72,-15.6918449
73,-19.2114792
74,-26.2319927
75,-33.9124794
76,-39.065876
77,-40.2552757
78,-37.1574554
79,-30.2081261
80,-14.934516
81,-16.6123753
82,-22.5567589
83,-30.3072681
84,-36.9810677
85,-40.4120827
86,-39.3960495
87,-33.8534966
88,-25.6405678
89,-18.7898445
90,-15.7080927
91,-17.2601013
92,-23.0230465
93,-30.6579647
94,-37.0014763
95,-39.5656242
96,-37.9582558
97,-32.3231468
98,-24.7511272
99,-18.3732872
100,-15.5761166
101,-17.5584717
102,-23.6810989
103,-31.503912
104,-37.7688408
105,-40.2861862
106,-38.6869316
107,-32.7805672
108,-24.8500252
109,-18.3670502
110,-15.5801401
111,-17.2989216
112,-22.7531052
113,-30.3609314
114,-36.7826004
115,-39.8808022
116,-38.3432312
117,-32.4953804
118,-24.846159
119,-18.6610641
120,-16.1813335
121,-18.0117741
122,-23.8157787
123,-31.438448
124,-37.5470161
125,-40.1619186
126,-38.3175087
127,-32.1839981
