voltages,
Sample,Voltage (mV)
0,-26.6514797
1,-26.8670235
2,-27.0235863
3,-27.0205231
4,-26.6500492
5,-26.560873
6,-26.5442448
7,-26.5370483
8,-26.5241966
9,-26.4951191
10,-26.3275394
11,-25.7786903
12,-25.6833458
13,-25.8581009
14,-26.1973057
15,-26.3620701
16,-26.5228786
17,-26.7934914
18,-26.9925194
19,-27.1257477
20,-26.914896
21,-26.5821056
22,-26.5302525
23,-26.4969521
24,-26.4914532
25,-26.4939346
26,-26.4846134
27,-26.175312
28,-25.7472649
29,-25.7866917
30,-26.0338593
31,-26.2690258
32,-26.3744965
33,-26.5717812
34,-26.8338566
35,-27.0357647
36,-27.1313114
37,-26.7876148
38,-26.6068687
39,-26.5621014
40,-26.5125523
41,-26.4750938
42,-26.4510231
43,-26.3850918
44,-25.9034939
45,-25.7103443
46,-25.8543892
47,-26.2016411
48,-26.3794804
49,-26.490202
50,-26.7229767
51,-26.9226971
52,-27.0702744
53,-26.9997597
54,-26.6476822
55,-26.5916042
56,-26.5739269
57,-26.5575428
58,-26.5187664
59,-26.1568966
60,-26.2689362
61,-26.423645
62,-26.6966705
63,-26.9089756
64,-27.0692024
65,-26.8507309
66,-26.5718479
67,-26.5268803
68,-26.4791393
69,-26.4396458
70,-26.4052277
71,-26.3812237
72,-26.0262623
73,-25.6550941
74,-25.7479134
75,-26.0521412
76,-26.2925606
77,-26.3970699
78,-26.5940418
79,-26.8226814
80,-26.9796009
81,-27.0229149
82,-26.6638184
83,-26.532711
84,-26.5224533
85,-26.5125065
86,-26.502182
87,-26.4741783
88,-26.3590088
89,-25.8242397
90,-25.6551609
91,-25.7965927
92,-26.1450977
93,-26.3310261
94,-26.482893
95,-26.7534847
96,-26.9717999
97,-27.1195793
98,-26.981144
99,-26.6093731
100,-26.538969
101,-26.4993668
102,-26.4839211
103,-26.4806366
104,-26.4803696
105,-26.2436371
106,-25.753233
107,-25.7570343
108,-25.9730015
109,-26.2377148
110,-26.3510742
111,-26.5265884
112,-26.7941837
113,-26.9974365
114,-27.1349335
115,-26.8515797
116,-26.6210175
117,-26.5768776
118,-26.5232811
119,-26.4826241
120,-26.447916
121,-26.4013176
122,-25.9693813
123,-25.6803493
124,-25.7935295
125,-26.1227016
126,-26.3330154
127,-26.4344616
