Sample,Voltage (mV)
0,-37.7973366
1,-35.4524612
2,-32.6848183
3,-30.7263985
4,-30.2562218
5,-31.3037663
6,-33.1757584
7,-35.6365585
8,-37.653759
9,-38.4278297
10,-37.4992523
11,-35.2532578
12,-32.7589951
13,-31.0831947
14,-30.8542633
15,-31.9664669
16,-33.9541626
17,-36.5705223
18,-38.3958206
19,-38.7524414
20,-37.5636215
21,-35.1495972
22,-32.2582245
23,-29.8990898
24,-29.5112534
25,-30.896595
26,-33.5984192
27,-36.4216728
28,-38.4004936
29,-38.9966354
30,-37.9863281
31,-35.6990051
32,-32.7586365
33,-30.6738091
34,-30.344326
35,-31.5535297
36,-33.9535828
37,-36.6179504
38,-38.3678207
39,-38.2779274
40,-36.6302185
41,-34.2575874
42,-31.8397217
43,-30.3114491
44,-30.1941109
45,-31.6899757
46,-34.3753281
47,-37.2213745
48,-39.0104065
49,-38.8688354
50,-37.4188614
51,-34.9280663
52,-32.220295
53,-30.4853096
54,-30.283041
55,-31.5288754
56,-33.4827995
57,-35.9754295
58,-37.8211136
59,-38.3308296
60,-37.1425476
61,-34.7792358
62,-32.3639832
63,-30.9107857
64,-30.9428368
65,-32.2260857
66,-34.3674164
67,-36.9430733
68,-38.55299
69,-38.6458511
70,-37.2253304
71,-34.6848526
72,-31.7914219
73,-29.6727753
74,-29.5890732
75,-31.2410965
76,-34.0407715
77,-36.7893295
78,-38.5682335
79,-38.9039307
80,-37.6517487
81,-35.21772
82,-32.2919693
83,-30.4863834
84,-30.4320049
85,-31.8715687
86,-34.3973427
87,-36.9850922
88,-38.4961281
89,-38.0777168
90,-36.2779846
91,-33.8041267
92,-31.5030403
93,-30.1863327
94,-30.330759
95,-32.0739708
96,-34.868969
97,-37.6351852
98,-39.1416206
99,-38.7196312
100,-37.0800552
101,-34.4625168
102,-31.8313847
103,-30.3233166
104,-30.3840866
105,-31.805769
106,-33.8498573
107,-36.3286743
108,-37.9544792
109,-38.1687012
110,-36.732914
111,-34.2713127
112,-30.3294849
113,-31.2992306
114,-33.5471039
115,-36.2564354
116,-38.2218742
117,-38.4686394
118,-36.9960442
119,-34.728569
120,-32.245079
121,-30.5308132
122,-30.1535015
123,-31.4022198
124,-33.957962
125,-36.857296
126,-38.9049797
127,-39.067173
